Name,Old Price,Current Price,Discount,Ratings
Celular Nokia 220 (2024) Dual Sim 4 Mb Negro O Rojo,129900,129900,No discount,No ratings available
Celular Infinix Smart 8 Dual Sim 64gb Ram 3+3 5000 Mah 90hz,429900,429900,No discount,(25)
Celular Multi M23lite 128gb 4gb Ram Dual Sim 4g Color Negro ,349900,349900,No discount,(4)
Samsung Galaxy A05 Dual SIM 128 GB negro 4 GB RAM,389900,389900,No discount,(81)
Samsung Galaxy A34 5G 5G Dual SIM 128 GB awesome lime 6 GB RAM,949900,949900,No discount,(340)
Samsung Galaxy S24 Ultra 5G Dual SIM 256 GB titanium gray 12 GB RAM,4518000,4518000,No discount,(72)
ZTE Blade A5 2020 Dual SIM 32 GB negro 2 GB RAM,219900,219900,No discount,(70)
Xiaomi Redmi 10 5G Dual SIM 128 GB graphite gray 4 GB RAM,699900,699900,No discount,(64)
Celular Kalley Black Z 256gb Azul,799900,799900,No discount,No ratings available
Celular Vimoq 9010 4g,67900,67900,No discount,No ratings available
Xiaomi Redmi Note 13 Pro+ 5G Dual SIM 256 GB violeta 8 GB RAM,2399900,2399900,No discount,(188)
Honor X8a Dual SIM 256 GB plata estelar 8 GB RAM,640142,640142,No discount,(109)
Xiaomi Redmi Note 13 4G Dual SIM 128 GB azul 6 GB RAM,629900,629900,No discount,(827)
Xiaomi Poco F5 Pro Dual SIM 512 GB black 12 GB RAM,3000000,3000000,No discount,(96)
Samsung Galaxy Z Flip5 5G Dual SIM 512 GB grafito 8 GB RAM,6199834,6199834,No discount,No ratings available
Infinix Hot 40 Pro Dual SIM 256 GB negro 8 GB RAM,999800,999800,No discount,(96)
Samsung Galaxy M34 5G Dual SIM 128 GB azul 6 GB RAM,799900,799900,No discount,(113)
Nokia 110 Dual Sin Sellada Basico Teclas Camara Radio Mp3 ,96980,96980,No discount,(14)
Infinix Note 40 Pro Dual SIM 256 GB verde 8 GB RAM,1029900,1029900,No discount,(20)
Oppo A78 256 GB black 8 GB RAM,799900,799900,No discount,(31)
Xiaomi Redmi Note 11 (Snapdragon) Dual SIM 128 GB gris grafito 4 GB RAM,499900,499900,No discount,(1000)
Samsung Galaxy A25 5g Negro 6+128 Gb,799900,799900,No discount,(17)
 Moto G23 128 GB steel blue 4 GB RAM,429900,429900,No discount,(42)
Samsung Galaxy A05s Dual SIM 128 GB negro 4 GB RAM,465412,465412,No discount,(43)
Samsung Galaxy S24 Plus 5G Dual SIM 512 GB amber yellow 12 GB RAM,5299900,5299900,No discount,(28)
 Moto G14 Dual SIM 128 GB gris oscuro 4 GB RAM,419900,419900,No discount,(57)
Samsung Galaxy A04s Dual Sim 128 Gb Negro 4 Gb Ram,479000,479000,No discount,(84)
Nokia Cseries C01 Plus (5 Mpx) 32 GB azul 1 GB RAM,199980,199980,No discount,(107)
 Moto G84 5G 256 GB viva magenta 8 GB RAM,1641900,1641900,No discount,(43)
Celular Xiaomi Redmi A2 Ligth Blue 2gb 64gb Us Color Azul,349900,349900,No discount,(339)
Samsung Galaxy S24 Ultra 5G Dual SIM 512 GB titanium black 12 GB RAM,9349834,9349834,No discount,(4)
Xiaomi Pocophone Poco X5 5G Dual SIM 256 GB negro 8 GB RAM,1399900,1399900,No discount,(241)
Tecno Camon 19 Pro Dual SIM 128 GB mondrian 8 GB RAM,689000,689000,No discount,(47)
LG K40S 32 GB aurora black 2 GB RAM,249900,249900,No discount,(23)
Tecno Spark Go 2024 4+128 Gb Color Blanco,359900,359900,No discount,(19)
Samsung A54 5G 128GB Dual SIM 6GB Ram Negro,1129900,1129900,No discount,(767)
Celular Motorola G22 128 Gb Blanco Color Pearl white,549900,549900,No discount,(314)
 Moto G52 Dual SIM 128 GB blanco 6 GB RAM,799900,799900,No discount,(368)
 Moto G54 (eSIM) Dual SIM 256 GB verde menta 8 GB RAM,849900,849900,No discount,(51)
Celular Tecno Spark 10 Pro 256gb / 8ram / 50mp,550644,550644,No discount,(1212)
Celular Motorola G23 4gb 128gb Concrete (gris Oscuro) Color Gris Oscuro,419900,419900,No discount,(19)
Honor X6s Dual SIM 128 GB azul náutico 4 GB RAM,579900,579900,No discount,(39)
Xiaomi 13T Dual SIM 256 GB negro 12 GB RAM,2189900,2189900,No discount,(100)
Galaxy A03 Color Azul,474700,474700,No discount,(191)
Samsung Galaxy A04e 32 GB negro 3 GB RAM,339900,339900,No discount,(68)
Samsung Galaxy S21 FE 5G (Exynos) 5G Dual SIM 256 GB olivo 8 GB RAM,2399900,2399900,No discount,(78)
Google Pixel 6A 128 GB carbón 6 GB RAM,1730779,1730779,No discount,(72)
Samsung Galaxy A24 Dual SIM 128 GB negro 4 GB RAM,720000,720000,No discount,(150)
Samsung Galaxy A05 Dual SIM 64 GB negro 4 GB RAM,509900,509900,No discount,(81)
 Moto G13 Dual SIM 128 GB gris oxford 4 GB RAM,419900,419900,No discount,(27)
Xiaomi Redmi 12 Dual SIM 128 GB sky blue 4 GB RAM,474900,474900,No discount,(444)
Samsung Galaxy M54 5G Dual SIM 128 GB azul obscuro 8 GB RAM,1013630,1013630,No discount,(52)
"Celular Samsung Galaxy S24, Galaxy Ai, triple cámara trasera de hasta 50 MP, selfie de 12 MP, pantalla 6.2 1-120 Hz, 128 GB, 8 GB de RAM, Esim Cream",4966500,4966500,No discount,(4)
 Moto E13 Dual SIM 64 GB cosmic black 2 GB RAM,308900,308900,No discount,(52)
Xiaomi 12 Dual SIM 256 GB gris 8 GB RAM,1849000,1849000,No discount,(60)
Celular Nokia 220 (2024) Dual Sim 4 Mb Negro O Rojo,129900,129900,No discount,No ratings available
Celular Multi M23lite 128gb 4gb Ram Dual Sim 4g Color Negro ,349900,349900,No discount,(4)
Celular Infinix Smart 8 Dual Sim 64gb Ram 3+3 5000 Mah 90hz,429900,429900,No discount,(25)
Samsung Galaxy A05 Dual SIM 128 GB negro 4 GB RAM,389900,389900,No discount,(81)
Samsung Galaxy A34 5G 5G Dual SIM 128 GB awesome lime 6 GB RAM,949900,949900,No discount,(340)
Samsung Galaxy S24 Ultra 5G Dual SIM 256 GB titanium gray 12 GB RAM,4518000,4518000,No discount,(72)
ZTE Blade A5 2020 Dual SIM 32 GB negro 2 GB RAM,219900,219900,No discount,(70)
Xiaomi Redmi 10 5G Dual SIM 128 GB graphite gray 4 GB RAM,699900,699900,No discount,(64)
